,Unnamed: 0,<TICKER>,<PER>,Date,Time,<OPEN>,<HIGH>,<LOW>,Close/Last,<VOL>,Pct_Change,SMA10,SMA20,SMA50,SMA100,SMA200,SMA500,EMA8,EMA20,EMA50,EMA200,Denoised_Close,ema_pct_change
1122,1122,SPY,60,240821,140000,560.42,561.69,560.18,560.75,323989,0.0588844081224868,559.3824999999999,558.6245,551.4036,539.70465,545.5781750000001,540.7285,559.7634198153692,557.9901750369872,551.9661617542554,544.9339771761476,557.7531067902743,0.05038236880365865
1123,1123,SPY,60,240821,150000,560.73,561.03,559.25,560.705,849233,-0.0044584737752531,559.651,558.91175,551.9525,539.9121,545.5735,540.81159,559.9726598563982,558.2487297953694,552.3088612933042,545.090902776385,557.9298641813086,0.03738008480405064
1124,1124,SPY,60,240822,90000,562.56,563.13,561.63,562.31,288518,-0.0444397042093287,560.0550000000001,559.2015,552.4449999999999,540.1047,545.5699000000001,540.8992099999999,560.4920687771986,558.6355174339056,552.7010628112138,545.2622370771174,558.1160327286428,0.09275612151022905
1125,1125,SPY,60,240822,100000,562.36,562.42,560.18,560.43,323750,-0.3431965289138743,560.1879999999999,559.413,552.8864,540.3672,545.5558,540.98159,560.4782757155989,558.8064205354384,553.0041583872446,545.4131600912755,558.3115875048154,-0.002460884349320125
1126,1126,SPY,60,240822,110000,560.53,561.24,557.08,557.75,309651,-0.4959591814889431,560.101,559.4350000000001,553.2603999999999,540.6521,545.54505,541.05869,559.8719922232436,558.7058090558728,553.190269823039,545.5359147172329,558.5163278758605,-0.10817252311540182
1127,1127,SPY,60,240822,120000,557.73,560.06,557.28,557.58,338317,-0.0268947340110765,559.824,559.4359999999999,553.5914,540.9066,545.52345,541.13405,559.3626606180784,558.5985891457897,553.3624161044885,545.6557563618376,558.7298789055612,-0.09097286741255317
1128,1128,SPY,60,240822,130000,557.54,558.41,555.25,555.52,376311,-0.3623058435269186,559.448,559.3035,553.8868,541.1489,545.4827,541.2048100000001,558.5087360362832,558.305390179524,553.4470272376458,545.7539080398293,558.9516941729544,-0.15266027604554644
1129,1129,SPY,60,240822,140000,555.52,557.28,555.28,556.08,270790,0.1008064516129138,559.167,559.13,554.18,541.4072,545.44415,541.2721300000001,557.9690169171091,558.0934482576646,553.5502810714636,545.8566552235126,559.181059981351,-0.09663575237952582
1130,1130,SPY,60,240822,150000,556.025,557.18,554.98,556.21,1067510,0.0332718852569685,558.7715000000001,558.9045,554.4638,541.6599,545.4123500000001,541.34357,557.5781242688627,557.9140722331251,553.6545837745434,545.9596735794976,559.4171009270461,-0.07005633581703696
1131,1131,SPY,60,240823,90000,559.53,559.8,558.85,559.75,328211,0.0393187139206168,558.7085,558.972,554.8186000000001,541.9276,545.40575,541.42233,558.0607633202266,558.088922496637,553.8936197049535,546.096890757811,559.658786785999,0.08655989723354018
