,<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,PriceChange
164,SPY,60,240205,100000,493.4,493.4,490.23,490.85,994630,-0.51682205107417
165,SPY,60,240205,110000,490.86,492.165,490.7,492.13,594900,0.25872957666136615
166,SPY,60,240205,120000,492.14,493.38,492.05,493.03,607943,0.18084284959564073
167,SPY,60,240205,130000,493.04,493.5,492.58,493.14,406002,0.020282330034067396
168,SPY,60,240205,140000,493.17,494.17,492.87,493.99,534615,0.16627126548654483
169,SPY,60,240205,150000,494.0,494.02,492.52,492.58,1263965,-0.2874493927125538
170,SPY,60,240206,90000,493.52,494.315,492.99,493.0,506372,-0.10536553736423687
171,SPY,60,240206,100000,493.02,493.17,492.05,492.88,598244,-0.028396413938579848
172,SPY,60,240207,90000,496.29,496.44,495.37,495.89,486300,-0.08059803743779526
173,SPY,60,240207,100000,495.875,498.03,495.51,497.255,991775,0.27829594151751863
174,SPY,60,240207,110000,497.295,497.85,496.83,497.6,568525,0.06133180506540521
175,SPY,60,240207,120000,497.61,497.85,496.8,497.56,370860,-0.010048029581401371
176,SPY,60,240207,130000,497.59,498.42,497.09,498.07,523456,0.09646496111256622
177,SPY,60,240207,140000,498.07,498.345,497.795,498.32,385211,0.05019374786676572
178,SPY,60,240207,150000,498.325,498.53,497.61,498.04,977946,-0.057191591832632956
179,SPY,60,240208,90000,498.1,498.34,497.67,498.0,275494,-0.020076289901630743
180,SPY,60,240208,100000,498.02,498.22,497.34,498.17,513194,0.030119272318387638
181,SPY,60,240208,110000,498.17,498.21,497.26,497.81,440085,-0.07226448802617853
182,SPY,60,240208,120000,497.79,498.135,497.42,497.57,361744,-0.044195343417912626
183,SPY,60,240208,130000,497.59,498.34,497.55,498.13,448529,0.108523081251637
184,SPY,60,240208,140000,498.15,498.33,497.59,498.25,457400,0.020074274816826807
185,SPY,60,240208,150000,498.24,498.7,497.86,498.4,1161963,0.03211303789337833
186,SPY,60,240209,90000,498.84,499.57,498.5,499.5,408408,0.13230695212894417
187,SPY,60,240209,100000,499.54,500.01,499.14,499.965,709313,0.08507827201024032
188,SPY,60,240209,110000,499.97,500.21,499.33,499.61,550892,-0.07200432025921828
189,SPY,60,240209,120000,499.59,500.48,499.38,500.48,466233,0.1781460797854327
190,SPY,60,240209,130000,500.47,500.93,500.305,500.71,429401,0.04795492237295987
191,SPY,60,240209,140000,500.71,501.64,500.67,501.28,525450,0.11383834954364666
192,SPY,60,240209,150000,501.29,501.335,500.7,501.17,1183434,-0.023938239342497263
193,SPY,60,240212,90000,501.16,501.46,501.14,501.43,344890,0.05387500997685007
194,SPY,60,240212,100000,501.44,502.12,501.03,502.07,374468,0.12563816209317075
195,SPY,60,240212,110000,502.09,503.5,501.87,503.29,428862,0.23900097592066075
196,SPY,60,240212,120000,503.29,503.44,502.66,503.21,416874,-0.015895408213960325
197,SPY,60,240212,130000,503.19,503.44,501.7,502.08,433940,-0.2205926190902072
198,SPY,60,240212,140000,502.08,502.16,500.24,500.56,611521,-0.30274059910770834
199,SPY,60,240212,150000,500.53,501.24,500.53,500.95,938636,0.08391105428246377
200,SPY,60,240213,90000,494.53,495.18,493.64,493.81,942441,-0.1455927850686451
201,SPY,60,240213,100000,493.8,495.315,493.22,494.55,1199074,0.15188335358444716
202,SPY,60,240213,110000,494.59,495.84,494.59,495.09,597199,0.10109383529792353
203,SPY,60,240213,120000,495.08,495.31,494.15,494.34,510493,-0.14947079259917773
204,SPY,60,240213,130000,494.325,494.47,493.37,493.56,565883,-0.15475648611743012
205,SPY,60,240213,140000,493.59,493.59,491.1,491.38,1129321,-0.44774002714803374
206,SPY,60,240213,150000,491.38,494.21,490.72,494.14,2403547,0.5616834221987038
207,SPY,60,240214,90000,496.78,497.3,495.81,496.81,559981,0.0060388904545331055
208,SPY,60,240214,100000,496.92,497.99,495.94,495.94,699766,-0.19721484343556672
209,SPY,60,240214,110000,495.95,496.33,495.15,495.33,651868,-0.1250126020768232
210,SPY,60,240214,120000,495.32,496.33,494.4,496.18,534830,0.17362513122829962
211,SPY,60,240214,130000,496.21,497.12,495.43,496.51,459148,0.06045827371476016
212,SPY,60,240214,140000,496.59,497.1,495.23,496.92,604457,0.06645321089833484
213,SPY,60,240214,150000,496.99,499.065,496.62,498.625,1279614,0.32898046238354717
214,SPY,60,240215,90000,499.29,500.38,499.27,499.56,446071,0.054076789040433774
215,SPY,60,240215,100000,499.65,500.57,499.305,499.82,577046,0.034023816671673354
216,SPY,60,240215,110000,499.83,500.15,498.8,499.805,563176,-0.005001700578192038
217,SPY,60,240215,120000,499.85,500.59,499.67,500.06,436674,0.04201260378113024
218,SPY,60,240215,130000,500.035,501.68,499.95,501.38,616341,0.2689811713180018
219,SPY,60,240215,140000,501.39,502.195,500.99,501.835,668601,0.08875326592073898
220,SPY,60,240215,150000,501.86,502.05,501.16,501.97,1454339,0.021918463316465478
221,SPY,60,240216,90000,501.7,501.91,499.3,499.73,431934,-0.3926649392066914
222,SPY,60,240216,100000,499.64,501.15,498.78,500.93,675094,0.2581858938435715
223,SPY,60,240216,110000,500.94,502.46,500.91,502.23,612719,0.2575158701640956
224,SPY,60,240216,120000,502.21,502.36,501.67,501.83,480103,-0.07566555823261095
225,SPY,60,240216,130000,501.825,502.36,500.74,502.36,646639,0.10661087032332486
226,SPY,60,240216,140000,502.38,502.86,499.95,500.55,928177,-0.36426609339543453
227,SPY,60,240216,150000,500.57,500.75,498.98,499.48,1150736,-0.2177517629901862
228,SPY,60,240220,90000,497.72,498.41,496.175,496.69,657383,-0.20694366310375903
229,SPY,60,240220,100000,496.64,497.02,495.75,497.02,706342,0.07651417525773105
230,SPY,60,240220,110000,497.03,497.29,495.68,495.74,457210,-0.25954167756472724
231,SPY,60,240220,120000,495.76,495.76,494.48,495.48,704523,-0.05647894142326382
232,SPY,60,240220,130000,495.49,495.97,494.75,495.86,509325,0.0746735554703434
233,SPY,60,240220,140000,495.9,496.8,495.21,496.71,599123,0.16333938294010936
234,SPY,60,240220,150000,496.72,496.87,495.12,496.74,1662200,0.004026413271054479
235,SPY,60,240221,90000,495.42,495.67,494.92,495.26,406841,-0.032295829800982
236,SPY,60,240221,100000,495.26,496.06,495.06,495.26,445448,0.0
237,SPY,60,240221,110000,495.31,496.305,495.29,495.98,335370,0.13526882154610564
238,SPY,60,240221,120000,496.01,496.02,494.62,495.56,395390,-0.09072397733916426
239,SPY,60,240221,130000,495.56,495.74,494.42,495.35,425495,-0.042376301557829434
240,SPY,60,240221,140000,495.31,496.08,493.91,494.6,817919,-0.1433445720861641
241,SPY,60,240221,150000,494.57,497.37,493.56,497.18,1246170,0.5277311604019681
242,SPY,60,240222,90000,504.01,505.42,503.02,504.99,879211,0.19444058649630327
243,SPY,60,240222,100000,505.03,505.69,504.51,504.74,808885,-0.057422331346645476
244,SPY,60,240222,110000,504.77,505.88,504.55,505.25,613040,0.09509281454920424
245,SPY,60,240222,120000,505.24,506.5,504.93,506.45,569024,0.23949014329823046
246,SPY,60,240222,130000,506.44,507.26,506.07,507.25,612109,0.1599399731458815
247,SPY,60,240222,140000,507.23,508.48,506.89,507.2,804774,-0.005914476667395374
248,SPY,60,240222,150000,507.15,508.31,507.075,507.53,1303694,0.07492852213349019
249,SPY,60,240223,90000,509.27,510.13,509.12,509.75,530700,0.09425255758242547
