<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
QQQ,60,240528,120000,459.21,459.65,458.89,459.14,110599
QQQ,60,240528,130000,459.16,459.71,458.25,458.68,126569
QQQ,60,240528,140000,458.66,459.27,456.69,457.85,223133
QQQ,60,240528,150000,457.86,459.73,457.755,459.67,378085
QQQ,60,240529,90000,455.48,457.49,455.4,457.09,127470
QQQ,60,240529,100000,457.03,458.2,456.6,457.98,124509
QQQ,60,240529,110000,458.1,458.12,456.89,457.53,80732
QQQ,60,240529,120000,457.5,458.18,456.86,458.025,101053
QQQ,60,240529,130000,458.03,458.07,456.73,457.76,147637
QQQ,60,240529,140000,457.74,457.86,456.68,456.94,95402
QQQ,60,240529,150000,456.96,457.78,455.94,456.5,409609
QQQ,60,240530,90000,455.5,455.63,454.04,454.83,108548
QQQ,60,240530,100000,454.92,455.21,452.67,452.97,191888
QQQ,60,240530,110000,452.93,453.88,452.11,453.14,145967
QQQ,60,240530,120000,453.19,454.06,453.18,453.84,113951
QQQ,60,240530,130000,453.77,454.61,453.67,454.01,103560
QQQ,60,240530,140000,453.95,454.03,452.87,453.21,117149
QQQ,60,240530,150000,453.17,453.29,450.21,451.48,571199
QQQ,60,240531,90000,451.78,452.4,450.03,450.38,123554
QQQ,60,240531,100000,450.33,450.42,445.84,446.55,418657
QQQ,60,240531,110000,446.59,446.6,444.37,444.5,201198
QQQ,60,240531,120000,444.46,444.79,443.06,444.32,279482
QQQ,60,240531,130000,444.3,446.09,444.3,445.45,214883
QQQ,60,240531,140000,445.53,446.08,444.745,445.74,204457
QQQ,60,240531,150000,445.6,451.75,445.45,451.74,943188
QQQ,60,240603,90000,454.57,455.58,453.1,453.71,304583
QQQ,60,240603,100000,453.96,454.94,451.16,451.65,290817
QQQ,60,240603,110000,451.59,452.75,451.01,451.87,182875
QQQ,60,240603,120000,452.14,452.22,448.67,449.06,361755
QQQ,60,240603,130000,449.04,451.34,447.955,450.78,236984
QQQ,60,240603,140000,450.9,451.47,450.11,450.91,124801
QQQ,60,240603,150000,450.88,453.19,450.74,453.15,232075
QQQ,60,240604,90000,452.87,453.1,451.46,451.795,129769
QQQ,60,240604,100000,452.02,453.45,451.2,451.96,193967
QQQ,60,240604,110000,451.93,452.84,451.32,451.52,129962
QQQ,60,240604,120000,451.63,453.14,451.2,452.58,132239
QQQ,60,240604,130000,452.59,452.99,451.8,452.61,116894
QQQ,60,240604,140000,452.53,455.57,452.5,454.58,284838
QQQ,60,240604,150000,454.56,454.64,452.7,454.35,330790
QQQ,60,240605,90000,458,458.24,457.16,458.19,187377
QQQ,60,240605,100000,458.21,460.1,456.77,459.68,324945
QQQ,60,240605,110000,459.78,461.28,459.76,460.775,208779
QQQ,60,240605,120000,460.76,461.79,460.53,461.69,105326
QQQ,60,240605,130000,461.7,462.25,461.12,462.22,171268
QQQ,60,240605,140000,462.2,462.71,461.8,462.56,207333
QQQ,60,240605,150000,462.52,463.61,462.19,463.59,689737
QQQ,60,240606,90000,464.22,464.49,462.5,462.5,239557
QQQ,60,240606,100000,462.51,464.31,462.48,463.76,180891
QQQ,60,240606,110000,463.69,464.06,463.05,463.3,91053
QQQ,60,240606,120000,463.3,463.6,462.64,463.14,105315
