<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPY,60,240227,90000,506.69,506.74,505.53,506.07,363457
SPY,60,240227,100000,506.1,506.58,505.6,506.13,480914
SPY,60,240227,110000,506.14,506.16,505.47,505.9,313272
SPY,60,240227,120000,505.92,506,504.99,505.05,393951
SPY,60,240227,130000,505.05,505.89,504.77,505.72,363400
SPY,60,240227,140000,505.79,506.7,505.75,506.66,388620
SPY,60,240227,150000,506.67,507.155,506.23,506.9,1145668
SPY,60,240228,90000,505.48,505.8,504.96,505.3,193442
SPY,60,240228,100000,505.33,506.52,505.25,506.48,460140
SPY,60,240228,110000,506.51,506.85,506.17,506.58,389948
SPY,60,240228,120000,506.57,506.67,505.45,505.87,385936
SPY,60,240228,130000,505.86,506.78,505.5,506.61,353751
SPY,60,240228,140000,506.64,506.69,505.18,505.84,482523
SPY,60,240228,150000,505.85,506.27,505.35,506.23,1102337
SPY,60,240229,90000,508.07,508.835,508.07,508.47,383468
SPY,60,240229,100000,508.54,508.74,506.81,507.43,1098905
SPY,60,240229,110000,507.45,507.72,505.36,506.65,635030
SPY,60,240229,120000,506.65,507.42,506.52,507.37,462152
SPY,60,240229,130000,507.38,507.89,507.37,507.815,392857
SPY,60,240229,140000,507.82,508.29,507.17,507.75,527900
SPY,60,240229,150000,507.76,509.74,507.65,508.12,2351824
SPY,60,240301,90000,508.98,509.54,508.56,509.07,394793
SPY,60,240301,100000,509.11,510.83,508.67,510.66,937258
SPY,60,240301,110000,510.65,511.38,510.16,511.14,755970
SPY,60,240301,120000,511.15,512.06,510.72,511.81,507638
SPY,60,240301,130000,511.82,512.68,511.68,512.63,564794
SPY,60,240301,140000,512.63,513.29,512.56,513.1,614992
SPY,60,240301,150000,513.09,513.13,512.32,512.85,1499439
SPY,60,240304,90000,512.03,512.59,512.01,512.51,426640
SPY,60,240304,100000,512.51,512.87,512.07,512.66,420867
SPY,60,240304,110000,512.67,512.81,512.17,512.72,345881
SPY,60,240304,120000,512.71,513.17,512.5,512.97,271759
SPY,60,240304,130000,512.98,513.06,512.35,512.76,311041
SPY,60,240304,140000,512.75,514.13,512.61,513.81,601233
SPY,60,240304,150000,513.82,514.18,512.17,512.27,1358064
SPY,60,240305,90000,510.24,510.31,509.32,509.68,537888
SPY,60,240305,100000,509.68,510.7,507.51,508.11,1053518
SPY,60,240305,110000,508.13,508.4,506.97,507.68,706928
SPY,60,240305,120000,507.76,508.5,507.54,508.01,475084
SPY,60,240305,130000,508,508.15,506.68,506.76,665989
SPY,60,240305,140000,506.75,507.37,505.6,505.75,797917
SPY,60,240305,150000,505.69,507.37,504.91,507.19,1651678
SPY,60,240306,90000,510.58,510.85,509.63,509.94,540640
SPY,60,240306,100000,509.81,510.57,508.42,510.45,676803
SPY,60,240306,110000,510.49,511.64,510.48,511.21,638231
SPY,60,240306,120000,511.22,512.05,511.055,511.31,570195
SPY,60,240306,130000,511.33,511.95,509.12,510.18,869364
SPY,60,240306,140000,510.16,510.43,508.54,509.25,902219
SPY,60,240306,150000,509.24,510.27,508.57,509.81,1378136
SPY,60,240307,90000,513.14,513.63,512.23,513.4,513806
SPY,60,240307,100000,513.4,514.87,513.01,514.29,758524
SPY,60,240307,110000,514.36,514.73,513.77,514.63,584466
SPY,60,240307,120000,514.65,514.96,514.025,514.53,623136
SPY,60,240307,130000,514.55,515.89,514.24,515.7,616935
SPY,60,240307,140000,515.72,515.86,514.77,514.92,562179
SPY,60,240307,150000,514.9,515.62,514.07,514.87,1124507
SPY,60,240308,90000,515.46,517.79,515.31,517.76,520033
SPY,60,240308,100000,517.76,518.22,516.97,517.56,818426
SPY,60,240308,110000,517.54,517.6,513.94,514,1508492
SPY,60,240308,120000,514.01,514.84,512.3,512.54,986640
SPY,60,240308,130000,512.55,513.26,511.14,511.71,1059825
SPY,60,240308,140000,511.7,514.46,511.66,513.83,965553
SPY,60,240308,150000,513.83,514.38,511.72,511.77,1333627
SPY,60,240311,90000,510.48,510.94,509.43,509.43,644016
SPY,60,240311,100000,509.44,510.72,508.51,510.59,931486
SPY,60,240311,110000,510.59,510.89,509.23,510.84,631101
SPY,60,240311,120000,510.84,511.15,510,511,553582
SPY,60,240311,130000,511,511.57,510.21,511.05,527830
SPY,60,240311,140000,511.06,511.88,510.7,511.61,463736
SPY,60,240311,150000,511.6,511.61,510.54,511.26,1044953
SPY,60,240312,90000,513.45,513.76,510.86,513.45,890376
SPY,60,240312,100000,513.44,516.46,513,515.93,1103242
SPY,60,240312,110000,515.93,516.53,515.18,515.86,747092
SPY,60,240312,120000,515.87,515.95,513.55,514.41,584336
SPY,60,240312,130000,514.38,515.79,513.63,515.6,429973
SPY,60,240312,140000,515.65,517.11,515.51,516.75,639831
SPY,60,240312,150000,516.74,517.37,516.43,516.81,1064819
SPY,60,240313,90000,517.11,517.12,515.95,516.08,507604
SPY,60,240313,100000,516.08,516.77,515.7,516.21,650433
SPY,60,240313,110000,516.21,516.71,515.83,516.44,426809
SPY,60,240313,120000,516.44,516.67,516.09,516.47,345229
SPY,60,240313,130000,516.45,517.28,516.39,517.08,495781
SPY,60,240313,140000,517.03,517.16,516.4,516.5,437585
SPY,60,240313,150000,516.5,516.695,514.5,515.99,1251405
SPY,60,240314,90000,516.97,517.12,513.95,513.99,842285
SPY,60,240314,100000,513.99,515.6,513.36,514.6,992572
SPY,60,240314,110000,514.64,515.41,514.06,514.93,613726
SPY,60,240314,120000,514.985,515.12,513.84,513.91,573398
SPY,60,240314,130000,513.84,514.6,512.76,514.54,634886
SPY,60,240314,140000,514.54,515.18,513.85,513.89,784405
SPY,60,240314,150000,513.8,514.97,511.825,514.95,2705935
SPY,60,240315,90000,510.21,511.32,509.63,509.84,1108173
