,<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,PriceChange
1500,ETHUSDT,60,240303,120000,3413.39,3447.53,3411.4,3419.51,26322.6643,0.1792938984411493
1501,ETHUSDT,60,240303,130000,3419.51,3429.03,3403.92,3428.75,14753.5496,0.2702141534898211
1502,ETHUSDT,60,240303,140000,3428.75,3436.41,3415.81,3418.45,10664.5129,-0.300401020780173
1503,ETHUSDT,60,240303,150000,3418.44,3431.24,3417.8,3422.5,8764.5935,0.11876762499853574
1504,ETHUSDT,60,240303,160000,3422.5,3483.81,3418.22,3480.52,34142.7924,1.6952520087655218
1505,ETHUSDT,60,240303,170000,3480.51,3484.44,3454.68,3460.74,18089.865,-0.5680202039356427
1506,ETHUSDT,60,240303,180000,3460.75,3473.8,3457.0,3469.8,9477.4606,0.26150400924655587
1507,ETHUSDT,60,240303,190000,3469.8,3474.48,3462.6,3465.2,7918.7985,-0.13257248256384702
1508,ETHUSDT,60,240303,200000,3465.2,3473.55,3458.65,3468.25,6502.6696,0.08801800761861313
1509,ETHUSDT,60,240303,210000,3468.24,3478.34,3462.14,3476.95,5770.7086,0.2511360228819239
1510,ETHUSDT,60,240303,220000,3476.94,3491.8,3461.0,3473.82,16358.7459,-0.08973407651555364
1511,ETHUSDT,60,240303,230000,3473.83,3490.6,3465.13,3487.81,12801.2912,0.40243765526810515
1512,ETHUSDT,60,240304,0,3487.8,3528.96,3423.78,3485.51,59928.6071,-0.0656574344859213
1513,ETHUSDT,60,240304,10000,3485.52,3493.21,3467.46,3478.21,17830.7338,-0.20972480433335472
1514,ETHUSDT,60,240304,20000,3478.21,3499.0,3461.2,3487.69,16550.0976,0.2725539861020473
1515,ETHUSDT,60,240304,30000,3487.68,3487.84,3465.52,3471.85,9931.6885,-0.45388338379667653
1516,ETHUSDT,60,240304,40000,3471.84,3487.34,3468.6,3484.2,9915.2554,0.3560071892713856
1517,ETHUSDT,60,240304,50000,3484.21,3485.72,3456.36,3465.45,26494.8978,-0.5384290843548528
1518,ETHUSDT,60,240304,60000,3465.46,3473.79,3463.0,3473.14,10550.2157,0.22161560081489431
1519,ETHUSDT,60,240304,70000,3473.14,3487.09,3462.0,3478.61,17971.0734,0.1574943710878414
1520,ETHUSDT,60,240304,80000,3478.61,3544.14,3478.6,3534.0,58958.167,1.5923026726192322
1521,ETHUSDT,60,240304,90000,3534.01,3535.0,3499.8,3523.0,31319.8771,-0.31154410994876125
1522,ETHUSDT,60,240304,100000,3523.01,3523.52,3481.67,3497.3,26267.9891,-0.7297736878407962
1523,ETHUSDT,60,240304,110000,3497.29,3511.93,3491.17,3506.91,14015.2061,0.2750701257259161
1524,ETHUSDT,60,240304,120000,3506.92,3508.51,3497.19,3506.1,11181.5715,-0.023382341199689863
1525,ETHUSDT,60,240304,130000,3506.09,3519.0,3484.7,3490.12,20352.5608,-0.4554931561939441
1526,ETHUSDT,60,240304,140000,3490.11,3546.0,3459.03,3534.16,56537.4479,1.262137869580034
1527,ETHUSDT,60,240304,150000,3534.17,3568.18,3521.78,3560.42,44048.8711,0.7427486510269737
1528,ETHUSDT,60,240304,160000,3560.42,3575.0,3534.65,3549.8,46523.1991,-0.29827941647333434
1529,ETHUSDT,60,240304,170000,3549.8,3585.34,3528.42,3543.64,58292.8417,-0.1735309031494819
