,<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,PriceChange
69,QQQ,60,240116,150000,408.61,409.58,408.43,409.52,384426,0.22270624801154354
70,QQQ,60,240117,90000,406.16,406.61,403.27,403.38,856964,-0.68445932637385
71,QQQ,60,240117,100000,403.35,405.26,402.92,404.86,756637,0.3743646956737302
72,QQQ,60,240117,110000,404.88,406.56,404.88,405.83,450038,0.23463742343410116
73,QQQ,60,240117,120000,405.85,406.12,404.93,405.78,270365,-0.01724775163238882
74,QQQ,60,240117,130000,405.755,406.17,404.02,404.65,285633,-0.2723318258555084
75,QQQ,60,240117,140000,404.63,406.58,404.51,406.23,349000,0.39542297901787377
76,QQQ,60,240117,150000,406.24,407.58,405.49,407.2,585505,0.2363135092556074
77,QQQ,60,240118,90000,410.52,411.85,410.49,411.22,429715,0.170515443827352
78,QQQ,60,240118,100000,411.22,412.455,410.27,411.89,546374,0.16292981858858008
79,QQQ,60,240118,110000,411.89,412.98,411.18,412.41,418687,0.12624729903615983
80,QQQ,60,240118,120000,412.45,412.48,410.35,410.56,436922,-0.4582373621044942
81,QQQ,60,240118,130000,410.56,411.05,409.17,410.92,362886,0.0876851130163712
82,QQQ,60,240118,140000,410.94,413.16,410.93,412.93,425668,0.48425560909135373
83,QQQ,60,240118,150000,412.98,413.57,412.56,413.19,587292,0.05084992009297775
84,QQQ,60,240119,90000,415.22,415.74,414.63,415.69,477161,0.11319300611723193
85,QQQ,60,240119,100000,415.87,416.44,414.7,416.07,372621,0.04809195181186155
86,QQQ,60,240119,110000,416.08,417.11,415.76,416.98,479490,0.21630455681600513
87,QQQ,60,240119,120000,416.99,418.4,416.29,418.4,520983,0.3381376052183429
88,QQQ,60,240119,130000,418.38,420.085,417.95,420.08,411882,0.40632917443472166
89,QQQ,60,240119,140000,420.09,421.1,419.83,420.91,555093,0.1951962674665072
90,QQQ,60,240119,150000,420.885,421.34,420.57,421.24,730270,0.08434608028321708
91,QQQ,60,240122,90000,423.41,424.72,422.49,423.69,478164,0.06612975602842935
92,QQQ,60,240122,100000,423.72,423.92,421.19,421.475,646739,-0.5298310204852271
93,QQQ,60,240122,110000,421.46,423.01,421.25,422.97,288691,0.35827836568121474
94,QQQ,60,240122,120000,422.97,423.0,421.76,422.29,162345,-0.1607679031609823
95,QQQ,60,240122,130000,422.22,422.36,421.12,422.17,208480,-0.011842167590358431
96,QQQ,60,240122,140000,422.21,422.37,421.315,421.96,158187,-0.05921224035432605
97,QQQ,60,240122,150000,421.96,422.43,421.595,421.72,383239,-0.056877429140191546
98,QQQ,60,240123,90000,422.43,422.44,420.57,422.17,259408,-0.061548658949409585
99,QQQ,60,240123,100000,422.15,422.355,421.05,421.65,291829,-0.11844131232974062
100,QQQ,60,240123,110000,421.63,422.25,421.03,421.98,216396,0.08301117093186508
101,QQQ,60,240123,120000,421.97,422.6,421.36,422.53,112919,0.13271085622199336
102,QQQ,60,240123,130000,422.53,422.57,421.795,422.32,168794,-0.04970061297422184
103,QQQ,60,240123,140000,422.32,422.76,421.92,422.67,128800,0.08287554461072712
104,QQQ,60,240123,150000,422.65,423.64,422.52,423.43,439661,0.18454986395363293
105,QQQ,60,240124,90000,427.48,427.5,426.13,426.91,389169,-0.1333395714419372
106,QQQ,60,240124,100000,426.95,429.19,426.18,428.5,477409,0.3630401686380165
107,QQQ,60,240124,110000,428.59,428.92,427.375,428.83,294022,0.05599757343848646
108,QQQ,60,240124,120000,428.83,429.85,428.51,429.66,266913,0.19354989156543176
109,QQQ,60,240124,130000,429.66,429.66,427.54,428.01,372705,-0.3840245775729726
