status_code,error,page_rank_integer,page_rank_decimal,rank,domain,website
200,,5,4.8,564117,millburysutton.com,www.millburysutton.com
200,,5,4.97,153761,dailyhelmsman.com,www.dailyhelmsman.com
200,,3,2.51,21107227,wcdqfm.com,wcdqfm.com
200,,5,5.12,81752,sgbonline.com,sgbonline.com
200,,5,5.43,26197,www2.ljworld.com,www2.ljworld.com
200,,6,5.56,17903,foxcarolina.com,www.foxcarolina.com
200,,3,2.55,19913276,trieucontim.com,trieucontim.com
200,,5,4.81,535365,tucsonlocalmedia.com,www.tucsonlocalmedia.com
200,,5,4.78,648408,chelmsfordweeklynews.co.uk,www.chelmsfordweeklynews.co.uk
200,,3,2.81,13168976,obituaries.timeswv.com,obituaries.timeswv.com
200,,5,5.26,48434,thelantern.com,www.thelantern.com
200,,4,3.67,3394741,woodradio.iheart.com,woodradio.iheart.com
200,,4,3.99,1889739,k945.com,k945.com
200,,6,5.67,13385,eenews.net,www.eenews.net
200,,5,4.8,574874,saobserver.net,www.saobserver.net
200,,7,6.9,738,fool.com,www.fool.com
200,,4,4.08,1765546,buffalobulletin.com,www.buffalobulletin.com
200,,5,5.04,112139,marylandmatters.org,marylandmatters.org
200,,5,5.48,22294,maxpreps.com,www.maxpreps.com
200,,5,5.42,27014,railway-technology.com,www.railway-technology.com
200,,5,4.78,655023,thepampanews.com,www.thepampanews.com
200,,6,5.59,16467,irishmirror.ie,www.irishmirror.ie
200,,5,5.41,28118,contactmusic.com,www.contactmusic.com
200,,5,4.78,669334,leaderunion.com,www.leaderunion.com
200,,5,4.96,160780,news.coinupdate.com,news.coinupdate.com
200,,5,5.1,85938,pressenza.com,www.pressenza.com
200,,5,5.03,115071,americanbazaaronline.com,www.americanbazaaronline.com
200,,5,4.8,562309,chvnradio.com,www.chvnradio.com
200,,3,3.13,8646500,bigcountry1073.com,www.bigcountry1073.com
200,,5,5.11,83453,thv11.com,www.thv11.com
200,,5,4.9,311226,n.rivals.com,n.rivals.com
200,,5,4.89,311964,kelo.com,kelo.com
200,,5,5.44,25600,everythinglubbock.com,www.everythinglubbock.com
200,,5,5.03,117082,heraldstandard.com,www.heraldstandard.com
200,,5,5.06,103808,gwhatchet.com,gwhatchet.com
200,,5,4.8,585646,riggosrag.com,riggosrag.com
200,,5,5.48,21992,newschannel5.com,www.newschannel5.com
200,,7,6.82,853,nba.com,www.nba.com
200,,3,2.74,14456188,kmaj1440.com,www.kmaj1440.com
200,,5,5.09,91062,hartfordbusiness.com,www.hartfordbusiness.com
200,,5,5.09,90078,ijr.com,ijr.com
200,,6,6.27,5239,popularmechanics.com,www.popularmechanics.com
200,,5,4.86,460085,havredailynews.com,www.havredailynews.com
200,,5,5.25,50040,goodnet.org,www.goodnet.org
200,,5,4.83,500940,wrkf.org,www.wrkf.org
200,,5,5.07,96291,eastoregonian.com,www.eastoregonian.com
200,,5,4.8,571900,westernpeople.ie,westernpeople.ie
200,,5,5.11,83347,sb.by,www.sb.by
200,,5,4.82,521617,tide1009.com,tide1009.com
200,,5,4.83,491548,blueprint.ng,blueprint.ng
200,,3,3.33,5369219,razorbackswire.usatoday.com,razorbackswire.usatoday.com
200,,5,4.84,485579,wobm.com,wobm.com
200,,5,4.78,665282,wruf.com,www.wruf.com
200,,5,4.89,312318,hppr.org,www.hppr.org
200,,3,3.34,5231328,carolinablitz.com,carolinablitz.com
200,,5,5.41,28479,thefiscaltimes.com,www.thefiscaltimes.com
200,,6,5.54,18508,wdrb.com,www.wdrb.com
200,,3,3.09,9075511,tvkoha.tv,tvkoha.tv
200,,5,4.97,152786,stateofreform.com,stateofreform.com
200,,4,4.49,1197362,wfnt.com,wfnt.com
200,,4,3.63,3520921,newtoncountytimes.com,newtoncountytimes.com
200,,5,5.18,66995,alipac.us,www.alipac.us
200,,5,5.0,132345,krgv.com,www.krgv.com
200,,5,4.85,472553,easternecho.com,www.easternecho.com
200,,5,4.83,500740,blackhillsfox.com,www.blackhillsfox.com
