<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPY,60,240521,100000,529.53,530.59,529.53,530.36,184628
SPY,60,240521,110000,530.34,530.72,529.83,529.96,137733
SPY,60,240521,120000,529.96,530.3,529.81,529.96,192964
SPY,60,240521,130000,529.94,530.77,529.65,530.77,162647
SPY,60,240521,140000,530.76,530.78,530.18,530.41,163136
SPY,60,240521,150000,530.4,531.51,530.24,531.34,718275
SPY,60,240522,090000,530.65,531.17,530.65,531.145,116055
SPY,60,240522,100000,531.145,531.26,530.8,531.13,134691
SPY,60,240522,110000,531.11,531.38,530.16,530.69,188502
SPY,60,240522,120000,530.68,531.17,530.645,530.86,126783
SPY,60,240522,130000,530.88,531.24,529.45,530,223224
SPY,60,240522,140000,529.98,529.98,527.62,528.55,557716
SPY,60,240522,150000,528.56,529.83,527.8,529.78,1086103
SPY,60,240523,090000,532.96,533.05,529.56,529.96,426407
SPY,60,240523,100000,529.91,530.98,529.03,529.05,299254
SPY,60,240523,110000,529.07,531.48,528.98,531.07,206534
SPY,60,240523,120000,531.065,531.38,529.56,529.57,191614
SPY,60,240523,130000,529.56,529.835,526.57,526.7,288751
SPY,60,240523,140000,526.56,526.8,524.86,524.94,469720
SPY,60,240523,150000,524.895,526.21,524.73,525.96,1165170
SPY,60,240524,090000,527.85,528.08,526.89,527.27,337853
SPY,60,240524,100000,527.3,529.08,527.3,529.03,254396
SPY,60,240524,110000,529.04,530.27,528.89,529.45,363991
SPY,60,240524,120000,529.45,530,529.26,529.26,214216
SPY,60,240524,130000,529.28,529.86,529.06,529.57,131102
SPY,60,240524,140000,529.52,530.1,529.07,529.09,214464
SPY,60,240524,150000,529.08,529.58,528.28,529.51,556697
SPY,60,240528,090000,530.27,530.5,529.16,529.33,219762
SPY,60,240528,100000,529.35,530.14,529,529.9,190793
SPY,60,240528,110000,529.95,530.1,529.39,530.01,83982
SPY,60,240528,120000,530.01,530.29,529.64,529.74,110268
SPY,60,240528,130000,529.77,529.89,528.52,528.81,175808
SPY,60,240528,140000,528.74,529.34,527.11,528.28,366114
SPY,60,240528,150000,528.29,529.9,528.06,529.87,640460
SPY,60,240529,090000,525.68,526.415,525.4,526.21,268060
SPY,60,240529,100000,526.18,527.3,525.87,527.03,254286
SPY,60,240529,110000,527.03,527.03,526.07,526.6,143381
SPY,60,240529,120000,526.54,527.31,525.98,527.07,270905
SPY,60,240529,130000,527.06,527.19,526.17,527.01,283376
SPY,60,240529,140000,527.03,527.14,526.06,526.17,206842
SPY,60,240529,150000,526.15,527.18,525.56,526.12,699146
SPY,60,240530,090000,524.52,524.99,523.925,524.59,206414
SPY,60,240530,100000,524.63,524.81,523.09,523.43,303997
SPY,60,240530,110000,523.38,524.38,522.9,523.71,240921
SPY,60,240530,120000,523.74,524.71,523.71,524.66,207760
SPY,60,240530,130000,524.67,525.19,524.53,524.78,233327
SPY,60,240530,140000,524.75,524.82,523.63,524.06,309479
SPY,60,240530,150000,524.09,524.22,521.36,522.63,1118723
SPY,60,240531,090000,523.59,524.81,522.96,523.15,278599
SPY,60,240531,100000,523.14,523.21,520.26,520.87,541533
SPY,60,240531,110000,520.86,520.93,519.58,519.69,315168
SPY,60,240531,120000,519.66,519.77,518.4,519.55,345607
SPY,60,240531,130000,519.53,521.04,519.52,520.85,289514
SPY,60,240531,140000,520.86,521.8,520.585,521.47,369448
SPY,60,240531,150000,521.425,527.5,521.05,527.33,2941085
SPY,60,240603,090000,529.05,529.15,527.355,527.91,683954
SPY,60,240603,100000,528.15,529.12,526.03,526.06,378695
SPY,60,240603,110000,525.74,526.21,525.43,526.05,64612
SPY,60,240603,120000,526.08,526.08,523.21,523.79,277350
SPY,60,240603,130000,523.61,525.58,522.61,525.19,305177
SPY,60,240603,140000,525.16,526.14,524.68,525.74,284095
SPY,60,240603,150000,525.74,527.82,525.56,527.76,862256
SPY,60,240604,090000,526.49,526.78,525.77,526.48,216778
SPY,60,240604,100000,526.49,527.75,525.77,525.92,361057
SPY,60,240604,110000,525.92,526.6,525.15,525.25,194047
SPY,60,240604,120000,525.265,526.93,524.97,526.46,206629
SPY,60,240604,130000,526.455,527.1,525.71,526.85,159285
SPY,60,240604,140000,526.81,529.15,526.72,528.38,401422
SPY,60,240604,150000,528.35,528.58,526.61,528.35,663816
SPY,60,240605,090000,530.77,530.81,529.52,530.03,456472
SPY,60,240605,100000,530.09,531.11,528.85,530.96,488657
SPY,60,240605,110000,530.95,532.44,530.95,532.03,295083
SPY,60,240605,120000,532.02,532.81,531.74,532.65,197228
