Date,Close/Last,Volume,Open,High,Low,Pct_Change
2017-02-07,228.94,57818730,229.38,229.6556,228.72,0.0
2017-02-08,229.24,51381110,228.61,229.39,228.31,0.13
2017-02-09,230.6,65823370,229.56,230.95,229.52,0.59
2017-02-10,231.51,65951540,231.0,231.77,230.6216,0.39
2017-02-13,232.77,55023690,232.08,233.07,232.05,0.54
2017-02-14,233.7,70023470,232.56,233.71,232.16,0.4
2017-02-15,234.92,86213560,233.45,235.14,233.39,0.52
2017-02-16,234.72,84574430,234.96,235.155,233.85,-0.09
2017-02-17,235.09,76881310,233.95,235.09,233.93,0.16
2017-02-21,236.49,87736380,235.52,236.69,235.51,0.6
2017-02-22,236.28,61918630,236.02,236.54,235.83,-0.09
2017-02-23,236.44,72812210,236.88,236.9,235.56,0.07
2017-02-24,236.74,82311890,235.46,236.7932,235.41,0.13
2017-02-27,237.11,56404310,236.64,237.31,236.35,0.16
2017-02-28,236.47,95717730,236.67,236.95,236.015,-0.27
2017-03-01,239.78,148882400,238.39,240.32,238.37,1.4
2017-03-02,238.27,70152200,239.56,239.57,238.21,-0.63
2017-03-03,238.42,81726380,238.17,238.61,237.73,0.06
2017-03-06,237.71,54424270,237.5,238.12,237.01,-0.3
2017-03-07,237.0,64807970,237.36,237.77,236.76,-0.3
2017-03-08,236.56,77619600,237.34,237.64,236.4,-0.19
2017-03-09,236.86,90332120,236.7,237.24,235.74,0.13
2017-03-10,237.69,81757000,237.97,238.02,236.59,0.35
2017-03-13,237.81,57058040,237.62,237.86,237.24,0.05
2017-03-14,236.9,59838300,237.18,237.24,236.19,-0.38
2017-03-15,238.95,95071850,237.56,239.44,237.29,0.87
2017-03-16,238.48,77761390,239.11,239.2,238.1,-0.2
2017-03-17,237.03,88284080,237.75,237.97,237.03,-0.61
2017-03-20,236.77,52529210,237.03,237.36,236.32,-0.11
2017-03-21,233.73,131204400,237.47,237.61,233.58,-1.28
2017-03-22,234.28,97233080,233.77,234.61,233.05,0.24
2017-03-23,234.03,100172100,234.0,235.34,233.6,-0.11
2017-03-24,233.86,112400900,234.38,235.04,232.96,-0.07
2017-03-27,233.62,87245320,231.93,233.92,231.61,-0.1
2017-03-28,235.32,93370670,233.27,235.81,233.14,0.73
2017-03-29,235.54,61043150,234.99,235.81,234.725,0.09
2017-03-30,236.29,56658160,235.47,236.52,235.27,0.32
2017-03-31,235.74,73482420,235.9,236.51,235.68,-0.23
2017-04-03,235.33,85424090,235.8,236.03,233.91,-0.17
2017-04-04,235.48,56303450,235.0,235.58,234.555,0.06
2017-04-05,234.78,108227700,236.26,237.39,234.54,-0.3
2017-04-06,235.44,68962420,234.94,236.04,234.425,0.28
2017-04-07,235.2,74345090,235.15,236.0,234.64,-0.1
2017-04-10,235.34,67526890,235.36,236.255,234.73,0.06
2017-04-11,235.06,87804580,234.9,235.18,233.34,-0.12
2017-04-12,234.03,81393040,234.74,234.96,233.77,-0.44
2017-04-13,232.51,92625450,233.64,234.49,232.51,-0.65
2017-04-17,234.57,68153720,233.11,234.57,232.88,0.89
2017-04-18,233.87,83143680,233.72,234.49,233.08,-0.3
2017-04-19,233.44,68254750,234.52,234.95,233.18,-0.18
2017-04-20,235.34,92306890,234.15,235.845,233.78,0.81
2017-04-21,234.59,109896300,235.25,235.31,234.13,-0.32
2017-04-24,237.17,119008100,237.18,237.41,234.5628,1.1
2017-04-25,238.55,75528380,237.91,238.95,237.81,0.58
2017-04-26,238.4,84210820,238.51,239.53,238.35,-0.06
2017-04-27,238.6,57144960,238.77,238.95,237.98,0.08
2017-04-28,238.08,63426310,238.9,238.93,237.93,-0.22
2017-05-01,238.68,66588230,238.68,239.17,238.195,0.25
2017-05-02,238.77,57123690,238.84,238.98,238.3,0.04
2017-05-03,238.48,72846400,238.29,238.8775,237.7,-0.12
2017-05-04,238.76,61322410,238.83,238.9225,237.78,0.12
2017-05-05,239.7,61561740,239.19,239.72,238.68,0.39
2017-05-08,239.66,48260110,239.75,239.92,239.17,-0.02
2017-05-09,239.44,51126000,239.96,240.19,239.04,-0.09
