,Date,Open,High,Low,Pct_Change,Close/Last,Volume
1536,2021-04-27,"3,203.66","3,219.98","3,200.62",0.3,3214.43,217.52M
1537,2021-04-28,"3,206.61","3,220.27","3,205.50",0.16,3219.56,199.82M
1538,2021-04-29,"3,226.92","3,235.72","3,218.07",0.06,3221.58,189.52M
1539,2021-04-30,"3,218.90","3,237.23","3,217.22",-0.1,3218.27,304.08M
1540,2021-05-03,"3,221.79","3,221.94","3,165.77",-1.04,3184.76,295.95M
1541,2021-05-04,"3,183.08","3,186.00","3,168.56",-0.18,3179.13,187.18M
1542,2021-05-05,"3,157.20","3,160.30","3,140.49",-0.8,3153.59,300.25M
1543,2021-05-06,"3,160.01","3,178.24","3,157.88",0.62,3173.0,337.25M
1544,2021-05-07,"3,177.99","3,204.40","3,173.21",0.86,3200.26,232.68M
1545,2021-05-10,"3,203.85","3,206.24","3,177.60",-0.56,3182.41,221.62M
1546,2021-05-11,"3,158.33","3,166.59","3,137.46",-1.2,3144.27,349.51M
1547,2021-05-12,"3,126.50","3,142.60","3,115.75",-0.67,3123.26,298.38M
1548,2021-05-14,"3,105.74","3,121.26","3,023.95",-2.18,3055.02,663.35M
1549,2021-05-17,"3,047.88","3,087.20","3,027.38",0.81,3079.69,339.13M
1550,2021-05-18,"3,100.90","3,145.32","3,099.20",2.04,3142.63,384.16M
1551,2021-05-19,"3,124.95","3,133.12","3,100.95",-1.22,3104.21,254.24M
1552,2021-05-20,"3,114.42","3,128.77","3,102.75",0.18,3109.81,277.51M
1553,2021-05-21,"3,126.75","3,130.45","3,104.57",0.26,3117.89,247.52M
1554,2021-05-24,"3,132.21","3,137.98","3,121.84",0.18,3123.61,189.48M
1555,2021-05-25,"3,132.27","3,149.39","3,132.22",0.72,3146.09,291.52M
1556,2021-05-27,"3,139.93","3,171.72","3,135.37",0.6,3164.82,603.73M
1557,2021-05-28,"3,183.57","3,194.19","3,177.60",0.43,3178.5,329.03M
1558,2021-05-31,"3,184.53","3,193.61","3,157.40",-0.45,3164.28,273.03M
1559,2021-06-01,"3,176.71","3,188.00","3,162.65",0.73,3187.23,240.44M
1560,2021-06-02,"3,183.34","3,186.98","3,153.83",-0.82,3161.04,314.84M
1561,2021-06-03,"3,168.80","3,177.10","3,159.60",0.13,3165.0,231.30M
1562,2021-06-04,"3,154.25","3,171.45","3,145.79",-0.44,3151.04,222.89M
1563,2021-06-07,"3,169.69","3,179.78","3,165.76",0.79,3175.81,204.12M
1564,2021-06-08,"3,177.32","3,181.36","3,157.32",-0.27,3167.14,231.78M
1565,2021-06-09,"3,167.01","3,169.08","3,153.47",-0.43,3153.47,302.56M
1566,2021-06-10,"3,157.42","3,174.65","3,154.16",0.29,3162.5,225.99M
1567,2021-06-11,"3,169.84","3,172.57","3,155.16",-0.14,3157.97,237.61M
1568,2021-06-14,"3,154.53","3,160.35","3,149.94",-0.15,3153.14,170.32M
1569,2021-06-15,"3,160.44","3,182.75","3,159.20",0.69,3174.87,261.03M
1570,2021-06-16,"3,173.72","3,174.79","3,139.57",-1.11,3139.57,307.66M
1571,2021-06-17,"3,128.61","3,150.37","3,121.75",-0.04,3138.31,266.41M
1572,2021-06-18,"3,129.34","3,144.16","3,125.67",0.19,3144.16,374.84M
1573,2021-06-21,"3,113.45","3,122.54","3,096.09",-0.84,3117.87,290.21M
1574,2021-06-22,"3,125.71","3,132.56","3,105.68",-0.28,3109.2,193.61M
1575,2021-06-23,"3,116.71","3,136.57","3,106.73",0.3,3118.62,225.17M
1576,2021-06-24,"3,119.91","3,131.23","3,116.31",0.03,3119.62,230.85M
1577,2021-06-25,"3,128.80","3,133.98","3,113.44",0.06,3121.6,217.46M
1578,2021-06-28,"3,133.87","3,134.64","3,122.46",0.17,3126.88,230.31M
1579,2021-06-29,"3,120.44","3,121.97","3,089.49",-1.2,3089.49,310.93M
1580,2021-06-30,"3,101.50","3,145.77","3,096.31",1.33,3130.46,268.17M
1581,2021-07-01,"3,140.25","3,147.88","3,123.48",-0.2,3124.19,199.22M
1582,2021-07-02,"3,139.55","3,142.30","3,123.48",0.15,3128.95,226.46M
1583,2021-07-05,"3,126.62","3,141.02","3,126.62",0.39,3141.02,176.63M
1584,2021-07-06,"3,147.82","3,195.25","3,147.77",1.58,3190.59,284.28M
1585,2021-07-07,"3,174.89","3,175.08","3,132.90",-1.54,3141.6,274.88M
1586,2021-07-08,"3,140.07","3,146.86","3,101.96",-1.08,3107.59,269.99M
1587,2021-07-09,"3,097.56","3,138.64","3,095.35",0.77,3131.4,199.76M
1588,2021-07-12,"3,156.36","3,161.21","3,135.19",0.5,3147.14,149.37M
1589,2021-07-13,"3,170.39","3,175.21","3,162.04",0.63,3166.81,239.66M
1590,2021-07-14,"3,165.58","3,175.18","3,148.50",-0.43,3153.15,237.32M
1591,2021-07-15,"3,152.13","3,156.14","3,132.81",-0.42,3139.98,183.35M
1592,2021-07-16,"3,138.25","3,155.13","3,133.23",0.39,3152.3,166.76M
1593,2021-07-19,"3,114.76","3,128.08","3,109.28",-1.3,3111.2,203.95M
1594,2021-07-21,"3,124.99","3,130.76","3,107.25",0.25,3119.0,317.84M
1595,2021-07-22,"3,133.05","3,166.40","3,128.83",1.29,3159.26,226.29M
1596,2021-07-23,"3,161.22","3,165.75","3,149.02",-0.07,3157.05,149.68M
1597,2021-07-26,"3,157.09","3,160.44","3,127.78",-0.57,3138.97,171.80M
1598,2021-07-27,"3,149.70","3,166.95","3,130.56",-0.01,3138.81,205.98M
1599,2021-07-28,"3,150.87","3,150.87","3,119.89",0.09,3141.75,247.10M
1600,2021-07-29,"3,166.52","3,180.61","3,148.89",1.24,3180.61,275.84M
1601,2021-07-30,"3,169.75","3,189.53","3,166.94",-0.43,3166.94,301.53M
1602,2021-08-02,"3,176.42","3,177.89","3,143.92",-0.18,3161.22,233.60M
1603,2021-08-03,"3,153.46","3,154.21","3,126.18",-0.38,3149.25,225.23M
1604,2021-08-04,"3,154.60","3,190.60","3,147.62",1.07,3182.9,287.99M
1605,2021-08-05,"3,186.65","3,192.61","3,168.13",-0.25,3175.1,210.63M
1606,2021-08-06,"3,175.00","3,183.12","3,167.49",0.07,3177.18,241.02M
1607,2021-08-10,"3,187.53","3,207.99","3,187.46",0.95,3207.36,303.14M
1608,2021-08-11,"3,204.76","3,207.91","3,175.92",-0.85,3180.0,194.62M
1609,2021-08-12,"3,190.23","3,196.07","3,179.29",0.09,3182.8,207.92M
1610,2021-08-13,"3,167.03","3,172.64","3,156.89",-0.54,3165.49,222.04M
1611,2021-08-16,"3,139.23","3,159.14","3,134.21",-0.63,3145.52,286.09M
1612,2021-08-17,"3,138.58","3,146.81","3,112.51",-0.86,3118.51,282.79M
1613,2021-08-18,"3,117.28","3,158.25","3,116.56",0.41,3131.44,233.74M
1614,2021-08-19,"3,110.38","3,114.30","3,083.16",-1.42,3086.97,291.88M
1615,2021-08-20,"3,106.84","3,115.82","3,099.67",0.51,3102.75,211.46M
1616,2021-08-23,"3,116.31","3,118.08","3,087.16",-0.49,3087.56,281.61M
1617,2021-08-24,"3,105.24","3,113.03","3,100.89",0.65,3107.62,300.86M
